,text,source,label,len
0,"hello everyone .
in december we decided to kill our planned offsite due to market volatility . louise and i would like to get everyone together offsite , probably in late june ( once louise is back from holiday ( just kidding ) ) . i think it ' s time to go have a little fun with the group driving enron ' s success .
i would like suggestions as to :
1 ) where to go .
2 ) what should be the focus of the business meetings .
3 ) should we have business meetings or should we do something else ( ie . climb a mountain ) ? i ' m not a strong bid on climbing a mountain .
4 ) and any other ideas you have .
in addition i would like to start having staff meetings about once a month . the first one will be friday may 11 th at 2 : 30 p . m . please add this to your schedule . i have invited everyone who has p / l responsibility . portland , calgary and toronto will have to be on video or phone conference .
regards
john",ENRON,0,919
1,"i received word from mike morrell at allegheny today that no sec review of the s - 3 will be required . obviously , one less potential delay to have to deal with .
thanks ,
don",ENRON,0,176
2,"The University of Washington System is sharing funds for all students during this pandemic, please update your
financial aid status to claim yours.
Login.uw.edu/covid-19-aid-update
For instructions on Accepting Your Financial Aid on https://login.uw.edu/login/login./.
Regards,
Assistant Professor
University of Washington",https://ciso.uw.edu/education/more-phishing-examples/,1,322
3,"Dear user@stanford.edu,

A private document has been sent to you by the Human Resources Department.

Click https://login.stanford.edu to Login to view the document. Thank you!

Stanford University HR.
©2019 Stanford University",https://uit.stanford.edu/phishing,1,227
4,"attached you will find the interview packet for the above - referenced person .
the interview will happen thursday , february 1 , 2001 . please print all
three documents for your hard copies . if you have any questions , or
conflicts of schedule , please do not hesitate to contact me .
sasha divelbiss
58714",ENRON,0,308
5,"New Coronavirus disease (COVID-19) Message
Click Here To READ
CS Stanford.",https://uit.stanford.edu/phishing,1,74
6,"Hi user@stanford.edu,
Due to a se rv.er error on your e-mail
, (user@stanford.edu) (5) in coming me ss ages were d.ela.yed..
Log on to your port al to reco ver your dela.ye d messages
Re.co.ver
De.lay_ed
Messages
20.20 Message Center",https://uit.stanford.edu/phishing,1,233
7,"Your e-mail access has been suspended for your security.

To regain your access Click here

Stanford University.",https://uit.stanford.edu/phishing,1,112
8,"WEBMAIL UPGRADE
Attention!!! Lehigh Email User,
This message requires that you verify your Webmail immediately. Our email lab discovered You
are currently using 2.5GB space instead of 2GB. You will be unable to receive new email, loss
important information in your mailbox or cause limited access to it if you don't activate here.
To complete activation process, visit upgrade webpage below:
http://lehighedu.webs.com/
Thanks
Admin Help Desk.
",https://lts.lehigh.edu/phishing/examples,1,443
9,"good afternoon mike :
i certainly am interested in determining if there may be a potential fit
there at enron . i am very enthusiastic to apply my finance and meteorology
backgrounds in a market - based environment that is driven to achieve
unprecedented efficiencies . attached are two documents : 1 ) a
business - focused resume , and 2 ) an abbreviated meteorology cv .
graduate meteorology coursework included advanced atmospheric dynamics i and
ii , advanced physical meteorology , boundary layer modeling , numerical
modeling , research methods in meteorology , and turbulence .
i will look forward to hearing from you .
sincerely ,
greg hunt",ENRON,0,648
10,"it is no longer news that the recent Pandemic (Covid-19) has brought about a new normal and a delay in systems thereby causing a drastic change in the academic calendar. In line
with this, we urgently need the service of competent student administrative to work as an assistant part-time and get paid with a sum of $350 weekly. Tasks will be carried out
remotely. If interested, Do text your name to (267) 522-5320 to proceed
Best Regards,
Dr Brown",https://uit.stanford.edu/phishing,1,448
11,"Dear customer,
Your Apple ID was used to sign in to iCloud on an iPhone 4.

Time: February 06, 2014
Operating System: iOS;6.0.1

If you recently signed in to this device, you can disregard this email.
If you have not recently signed in to an iPhone with your Apple ID and believe someone may have accessed your account, please click here to confirm your details and change your password.
Apple Support

My Apple ID | Support | Privacy Policy
Copyright © 2014 iTunes S.à r.l. 31-33, rue Sainte Zithe, L-2763 Luxembourg. All rights reserved.",https://uit.stanford.edu/phishing,1,541
12,"Good Morning,
I apologize for the late send, but we understand how challenging these past several weeks have been to assist students who are
experiencing financial hardships resulting from the global pandemic COVID-19.
Are you interested in the on-going unemployment benefits for all undergraduates?
Dr. Amy Marie Hanks is looking for competent students like yourself to work with her while she attends to COVID-19 victims.
Are you able to work telecommute and you will only be working an hour a day, three times a week for $500 weekly.
Send ""Yes I am interested to this Email :
@gmail.com for further proceedings and how to apply.
Career Center
Thanks,
Stay Safe & Sanitized.",https://ciso.uw.edu/education/more-phishing-examples/,1,676
13,"Institute account Routine System. all institutional mail account users  are advice to upgrade /Update account now This has been made mandatory for all. for assistance click: ITS
Failure to do this you will have your account suspended on till report is made to the institution authorities.

ITS service Team
© Copyright 2013.
All Rights Reserved",https://uit.stanford.edu/phishing,1,345
